text,feedback
&quot;a little bit of paranoia could prolong your life...How much do you ever really know about the person sharing your room?&quot; - Law &amp; Order  ,1
@zinziii Aha! Finally figured out how to share the Google Reader shared items you'd never guess I was a developer   http://is.gd/rc5v,0
Can't wait til Friday! ,0
Any Suya?  http://bit.ly/cSjE http://twitpic.com/2yd0k,1
"@joe_engle Ah, yes, very clever.... I think there may actually be some kind of real idea forming here... ",1
Hopefully this afternoon I'll be able to go driving after work. ,1
"@bradiewebbstack sway sway bradie, your so audiooo! i love you ",1
"@birlaasports Come on Arsenal  Bet À_25 on the match, get À_25 cashback if you lose @ http://tinyurl.com/coc9uq",1
@missu oh ok. thanks ,0
"jus woke up, had a massive headache last nite but now its gone ",1
"@petrac It is now  It's Drunknmunky, and the monkey is made of tiny fake jewels... lol it looks really gay but I bought it from ebay.",1
Had a nice session with my team. #Mobile SEO. I was waiting for this session long before. now had it. hope i will implement it soon ,0
At work on a chillin Tuesday....    So looking forward to the weekend.,1
@ajitmoses SNS adyar... booze + pool ,1
@icedcoffee it should be fun with AnimalRights going ,1
@selenagomez Hey How Are You? ,1
Just one day 'till my spring break! ,1
"@Monika29 Yeah-I'm not completely thrilled w/the weather, but I do love the people and area where I live. Tradeoffs ",1
"sitting  with gf on lap, *happy*  ",1
Revising under way...not too bad actually! Can't wait to finish though! ,0
@guavawrite Good to see you. I'll get some bigmouths to follow you if that helps? ,1
Someone somewhere liked Factory Balls 2 http://www.smartestgames.com/gotdhistory.php?id=151 ,0
@JoeMcIntyre it's about time ,1
I don't understand why WESH insist on showing Regis and Kelly instead of NBC Today or WESH 2 News. Lucky Brighthouse has on-demand ,0
@problogger I was born in 1969 ,1
@tim_fletcher #BTB09 sounds good to me ...come and grab me for a chat on the day...great to put faces to tweeps ,1
@dougiemcfly well then hello Mich  i love you xoxo,1
@katiewelch - thinking about it - or maybe just moving within the bldg ,0
Twitter rocks ,0
I'm Relaxing reading messages and finishing a project today. ,1
@StephanErdman Tip - Bet À_25 on a Champions League match and get À_25 cashback if your bet loses  http://tinyurl.com/coc9uq,1
@MoodyMommy HA stay away from the fancy cakes! I think a mojito solves the sweet &amp; wine tooth issue ,1
@mikeyway http://twitpic.com/2xzoe - fat ,1
@JesusTweeter 11:04 PM in this part of the world. I could probably very much impress the four walls of my room ,1
"@TheFraserMills sorry, but i like seeing the sun. will try not to talk about the weather in the future  lol",1
@mamur Never mind.. got Mahreen's latest tweet about Charles.. ,1
@austinhill Not at all  - It's just a time zone issue haha !,1
"@amanda_nan welp, at least i won my office pool  Nova in 2010!",1
"http://twitpic.com/2yd13 - I was trying to look like Taylor Swift, lol... ",1
my first lecture ,1
@juliebean24 I'm going to the game tonight   Will you be good to go in time for the 19th?!,1
@FakeCedric i just wanna make sure ,1
Was gonna get coffee but got distracted using AppZapper ,1
UNSTOPPABLE IS AMAZING. Rascal Flatts are by far the best ,1
"@TheDanishGirl Oh sorry. Well, hope you are having a good day anyway. ",1
@Paulosantosoo1 Tip - Bet À_25 on a Champions League match and get À_25 cashback if your bet loses  http://tinyurl.com/coc9uq,1
@incado Morning lovie! I'm glad my tweets make your day lol. I aim to please! ,1
"@rosshill Hehe neither do I, but in London it made far more sense than here.  10,000 users in London... more social.",1
@scianscythe OMG Loved Dark Alliance.  Very straight-forward but a lot of fun. ,1
Happy 40th RFC! - we owe you our professions  http://bit.ly/cTJeF,1
off to the riteaid... then time to make my list of what to do today... still loving spring break ,1
@mrskutcher That photo you're using is adorable ,1
@starboy_ yay!!! well dont i feel spesh! ,1
@dumbeddown boooooh to the bold :p change it  actually i want to see it ,1
"@totzhatz sometimes I wish I lived in a small town  We really like visiting my inlaws- such a relaxed pace, so nice. Esp in summer!",1
got an offer I can't refuse  this is gonna rock,1
i just remembered when i used to call rachel &quot;facial rachel&quot;  ahhahha.,1
"Spent a fun hour giving SF travel tips to some Germans. A lovely list filled with great food, bars and circus freak burlesque shows ",1
@kristahearne im praying baby girl  ill be there soon,1
think I'll take my 'tude to bed now. Tweet you later ,1
Morning all! Some hysterical things happened on The Hills last night.. watch for my post ,1
is working on work... and side projects ,1
@mattilde33 Happy birthday to you! happy birthday to you! happy birthday to Matilde!!! Happy birthday to you ,1
@DiamondEmory you too! Hope today is swell ,1
@Pastor_Robert very much so! ,1
Snow snow snow ah april in ohio ,1
@Hoodathunk So what did you have for lunch then? ... The waiting to find out is killing me !!! ,1
"@aussiecynic you too, my dear ",1
@hotspringer Can you send me one please   www.golfsigma.com  might be something to write about after The Masters.,0
@gbozward Geotagging is already added on Moby!  thanks for the reference,1
@strawp what sort are they? Space and my intolerance for bad coffee at home are limting factors ,1
@KimKeisha Happy Birthday dearrr! Can't wait for tonighttt!  Come over earlier around 8:30 or 9!,0
@JoanneRK lmao that's just what he wants you to think ,1
"@jono1980 tweeple? you is down with the lingo, innit. but okay, thanks for the clarification ",1
Picking up my mom and going tanning ,1
@westincolumbus That is actually an awesome idea! I'll have to check ticket prices to make sure it won't break the bank. ,1
@amberbenn I would be worried for you...but since you're a superstar Im confident you will get everything done. ,1
@cactopus I always eat :S It's the high metabolism  Oh well. Haha!,1
@SmileeForMee Me 2!! ARGH!!!! EXCITED!!!! Im glad u finally get to see James Morrison!! ,1
Visit @blfusa 's post for this week's Prayer &amp; Praise at:  http://p-p.blfusa.org/PPNL/pp090407.htm  . . . . . .  ,1
Had to wake up to feed the baby lamb! ,1
"Spent the afternoon on this steed!!! Always good 2 keep a tidy garden, lady garden   LOL  http://twitpic.com/2yd1m",1
@FlaviaCozma a cause is worth fighting for two reasons: to win it or to gain political capital... which one would u reckon is the case? ,0
@Xanneroo Add this  http://tinyurl.com/dejq3u to your indomitablility and you'llbe the perfect man ,1
@lukask Thanks ,1
Working out discounts to make Easter just that bit more fun ,1
"@flushgorden &quot;I didn't know it was THAT free!&quot; (and w that I must try 2 get a few hours of sleep... Nite, my fellow Cleudo-phile ",1
Gotta seize the day! And a Starbucks!!  Then to get me movtivated I need my dose of coaching @lifecoach2women...absolutely the best!,1
@vange33 nice work   You are super mom,1
i could spend an entire day writing witty responses to @bitchwhocodes tweets. and it would be a day well spent. ,1
@JonathanRKnight Wait until you come to KANSAS.I will show you the sites in our town. Hit me up &amp; I will be glad to do it Take Care Joyce ,1
Whipped ass  http://tinyurl.com/cfe2vs,1
@OldManMyke Hey! Was that an old lady joke on your page?? Forty is the new thirty    Hope you had a GREAT birthday,1
ahh well im off doing my work. leave me song names please.   byeee,1
@michellie remember that crazy-ass rollercoaster I showed you? I'm going in there Tuesday ,1
had a wonderful dream about her future husband! cant remember it now...but i woke up with a smile on my face! its gonna be a good day! ,0
@t66reis The fat purple glue stick makes me happier......  ,1
"Ready for sun and warmth!! ... working till 3 then, who knows! ",1
"@Tsarnick hahaha 2 computers, pimpin! I should try to sleep. I have to run errands in a few hours hahaha nighty night! ",1
I wonder whats its store for today ,0
@ScottBourne do these virtual volumes mean you can have different filesystems? say ZFS ,1
"@wisequeen I am,, but for once not kicking ",1
Great news ! I (and Nooly) just got news that my patent was approved in China !!!  ,0
yeahh baby!  http://images.nailsmag.com/articles/RihannaNailsMedium.jpg,1
"Yay, Australian internet is going to be WAY faster...oh wait that's in eight years...http://tinyurl.com/cjeppa =/ only eight more years ",1
@ScottBourne You have an iPhone vest - that's all you need to be cool ,0
"Off to save the world in my cubicle  Final sunny day in Seattle - a moment of silence, please...",1
@KaylaM81 thanks for clicking the 'follow' button ,1
@rustyrockets I dont have anythin important to say.. just letting you know that youre beautiful although you blatently already knew that ,1
is feeling much better after plodding along at work...er wtf? ,1
http://craftcult.com/singleitem.php?listingid=23360209&amp;userid=16045 Bowls are 2 for $12 this week. ,1
is emotionally tougher than she's ever been in her entire life. BAM goodbye shit friends ,1
@xox_Hannah_xox looool jus anotherr crazyy fann..omgg as longg as u dnt start beinn like mrs humess itss finee ,1
Low on twitter today due to hard work on finishing the floor. Living and kitchen are ready (100m2). Now working on hall and bykitchten ,1
@nivertech for once I know what time zone I am in and as a result forget the month ,1
"Oooookay, video done. No thanks to iMovie. Now, really really need to sleep. More sensible tweets tomorrow. ",1
I have such a great mom ,1
@DCGuru lol I'm getting stuff copyrighted. But I just remembered that my job sells books of stamps for 7 bucks. So I'm good now. Hehe. ,0
@VrouwHolle  It is SUCH a good movie. yeahh always makes me feel so much happier! DOT DOT DOT!,1
godbless coffee ,1
@find_ch oh I didnt think of that...i only have to shave my beard once every other day so its not bad ,0
Another year older today!  At least it's sunny out! ,1
just got home haha...trying to get some rest now... ,1
@RYANWWILLIAMS it sucks ,1
@HeatherShea yeah that's it. ,1
@russelltanner oooh @grazedotcom looks good!  How hearty are the boxes?  ,0
5k Run /1 Mile walk for LifeSpan....see www.dynamicquest.com-follow Quest For Hope Link for details or drop me a note- Fun event ,1
oh summer where are you? Please get here fast so I can go to Destin and relax on the beach! ,1
will play RC  http://plurk.com/p/n20uy,1
"Good morning Nebraska! The wind has died down, the sun is shining. Still colder than cold though. Wear a coat ",0
@nick_carter I love that you guys have fully embraced Twitter because we love knowing what you're doing all the time. ,1
is hoping that everyone can hang in there for one more day of cold.  I see the light at the end of the tunnel. ,1
@Corum please note the 'quotes' ,1
@RachMoon she's almost here!!!! ,1
"@yourbartender  a Food Turing Test - now that's idea for a sci fi short story!  It'll involve tea too, of course, &amp; Infinite Improvability",1
ish now home ,1
Losing all this weight has me really looking forward to buckling an Intamin seat belt without straining... ,1
"Figured out how to add a twitter 'ad' to header of my wordpress blog, go to settings, then tagline, may be useful for all you tweeters ",1
good mornin! time to get ready for work n try to win these day26 tix again. wish me luck please ,1
i'm listening music ,1
"@lejeune Ahh, it's okay, we still got Ed Davis.  It's hard for me to feel rancor right now, haha",1
@mrskutcher watching Mortal Thoughts (1991) on Lifetime ,0
Morning everyone... even though its pouring cats and dogs outside... its going to be a great day! ,1
@bek8806 good luck! ,1
@dougiemcfly serious?change your name? Mich is a decent name ,1
"@RaisingLuna I really draw, yes  I'm no pro but I've got experience. 5yrs of art class in high school + creative degree = always drawing!",1
@bakersdog Welcomes new employee Josie! Too cute! http://snurl.com/fes2m And she slept through the night last night  Good girl.,1
"@cydwel Well, there WAS this basketball thingy on last night... perhaps that's why the hurried departure? ",1
Off to register the jeep in my home state again   It's good to be home.,1
@mrskutcher Is that his &quot;serious&quot; face? ,0
"@jamie_oliver Congratulations to you, Jools and the girls  x",1
@JuanCGil You should show this http://tinyurl.com/cwdua8 to people before you subject them to my indifference ,0
Doors....Dead Cats Dead rats....no we didnt getting our name from there ,1
@PawPrintsPet we were discussing dogs in weddings! ,1
Gonna go gift hunting for hubby's bday  I hope that wallet looks as good as it does online in rl!,1
"@princess_kath go to town, bb ",1
"As the day begins,  ? http://blip.fm/~3xg07",1
going to mgm! im gonna ride the rockin rollercoaster all day ,1
"@MarketingVeep Put that sledgehammer down, woman! Do u know how much that iMac cost????   LOL",1
@drewmillikin Hey! Smile ,1
@floris Good Morning to you too.  ,1
@ASOS_Amy  they 're divine - just had a blackcurrant - you can taste the rose petal whoever said ice lollies were for kids need2try these ,1
"@chipcoffey heck yes! I love you guys! I've thought of faking a haunting just to meet you, but I'm not that thorough ",1
http://twitpic.com/2yd7o - i would never deface Spot property! ,1
@311_Nick Give Me a Call Part 2? ,1
@sthursby I am doing well also. I am defiantly getting fed up with this snow though ,1
"Episode 4 recorded. Phillipe, Timmy and Will hosting. Hope y'all enjoy it when it's online ",1
off to snuggle into bed  yay,1
been filling like I have earphones for the past hour.. which was very strange.. and now I just found out I really wore them ,1
@claypole I bought myself a new Fox Flux the other day. My Giro Xen was a similar age ,1
not to mention the free drinks!! ,1
finally downloaded the RunKeeper iPhone App - first run to track... tonight! ,1
"@lesliepiroutek I's sorry, but really glad you are back ",1
DB Attach option - deletedatabase does not delete the database  #SharePoint #spbpuk,1
last day of classes for me this week!  ,1
I'm featured today on www.askbabykid.com today.  That's so cool! ,1
Greetings from Earth!  It's going to be a good day. I can feel it.,1
PS.  I'm just figuring out what this Twitter is and I am not sure what I'm supposed to write ,1
Snow day today! ,1
@scheriinh212 Will do.  ,1
@serialseb Nah. Only if you click &quot;Next&quot; too hastily in the installer  ,1
@frankhamrick broke twitter on Monday - the real reason is was down during the game because he was stalking the UNC team ,1
@Blink182aholic ah it was pretty good boo tank you  how was your night,1
@mary_russell have downloaded  Shall read after have finished Life of Pi. Looking forward to it ,1
"@dougiemcfly wow, that's a very nice name, doug! huhuhu. but I still prefer Dougie ",0
WOW.... Ubuntu beta on my netbook. ,1
got a clue  ,1
@BrewskieButt  IToodles: MY mom has 3 of us she would have moar if dere moar rum,1
@charliesaxton makin moves! im prouddd of youu! miss ya  how is LA?,1
@mrskutcher Lucky you mrskutcher! ,1
"@britneylush Twitter must have had a meltdown last night, huh?! All good now. ",1
"F***ing hell, this cheesecake is fantastic!!!  I'm GOOD!!!",1
Just had a lovely lunch with the girls. ,1
@craigballantyne I AM!!!!!!!!!!!!  I may have bombed the last contest but BOY is life coming 2gether NOW!  I have my 100 goals tis why... ,1
has got a million things running through my mind!!! ,1
@matyjas u seem to love the new FF beta... never seen so many updates from you before ,1
@MarcusMansfield talk about Twitter! ,1
@fieldsofcake  Very cool! Second timrs the charm. Looking forward to results ,1
"@angelajames i take it you're downtown  if you're on north michigan avenue, the lush inside of macy's is right across street from borders",1
@mikecane &quot;Lawyers&quot;....?  ,1
I'm a circus act these days.  Juggling it all!  Beats having nothing to juggle at all.  ,1
oooh hummus is lovely. Forgot about quinoa too it's lovely! Looks like you've got it all sorted!  Yeah I'm looking forward to baking bread,1
@McDroll ain't that the truth!  Have fun with the cakes - jealous!  ,1
@JaiAsh name&gt;&gt;&gt;ARE_OH_ES_ES.. BROOKLYN&gt;&gt;hopefully something productive!!! ,0
"@addieking oops, nvm, pic is there ",1
@goldstar_gun  Like the dress. I can't wait to see how amazing you look in it. ,1
"@Schofe Hope your tea tray includes a sharp knife, you'll need it to cut @jantunstill cake later!  xxx",1
"@stutts Yeah, but how's the humidity? ",0
hello world!!! It's Tuesday!  Which is not nearly as good as Friday.. but a helluva lot better than Monday! ,0
Was looking out holiday clothes  getting more and mor excited ! 5 days!,1
"@ScottBourne Congrats on the rebrand, I don't see how you have time for all the stuff you're doing this year ",1
is reading (my favorite pastime) ,0
@judielise Our fingers are crossed too. Quite a relief to know he feels better.  Hoping your work is coming along fine too.,1
Is drinking sunny d and eating goldfish ,1
OK I did a precise measure now - 19 seconds! Wow! On an un-overclocked E8600 not bad at all ,0
"@cre8tivkj Are we looking at the pink glove?  Is that yours? I love using my looms, so easy  But never thought a GLOVE could me be made!",0
"Now that I understand why Kutner died on the show, I feel better  I was uber pissed/sad last night, LOL! #house",1
@QUUFM Yeah it got fixed pretty soon afterwards  Thanks!!,0
"@robluketic i can't believe y'all are coming to my city next. it's no villefranche, but ATL *is* gorgeous. have fun! ",1
@abysmalred You're no fun...I want to know what you're working on! ,1
@thorborg Perhaps you should divide production into bits so you don't burn out. Just a thought... ,1
@bruna_dv Thanks for responding glad you agree ,1
@catmagellan OlÀ_!!! Boa tarde ,1
@Perpetual_Kid my finger monster now has a name. Rocky! ,1
@iHysteria don't even know who's car it is ,1
No tweets disappearing as of yet... thats a good sign. ,1
@DHemily didn't realize yr in premed! Congrats Daphne! Any plans to visit Ohio? Historic Conservative Meeting on campus   Beautiful.,1
@swissfairy Thanks for responding glad you agree ,1
@heidiheartshugs Damn this spelling crap. I't = I'm ,1
"@StephenKarlLang unfortunately not, genius though! ",0
"@StarrGazr Organizing quite a tweet summit there; @hooeyspewer, @phillymac, @shanzan, et al., not certain I can commit but I'd like to. ",1
@DateBrooklyn What were you referring to? LOL...this is the bad part about Twitter. ,1
@lollipop26 im from belfast!! haha y does everyone characterize &quot;wee&quot; with us. hope you have fun ,1
Hello everyone ,1
Slept at 4 in the morning... to bad wasn't listening to that song ,1
Good morning everyone ,1
Loving the cold  And I want YOU to apply for the March of Dimes Collegiate Council! Want details? Msg me!,1
"@little_dollface lol, it's cool, maybe you need a breather ",1
@dogsandcats Thanks for the #meowmonday ,1
Good morning #JobAngels A very happy Tuesday to you all. Welcome new members! We appreciate you joining in our cause to help &amp; be helped ,1
"@flicksnews Whah! Thats crazy, amazing crazy but crazy! 9 discs!!! MUST HAVE! ",1
@johnengler Yes indeed - Texas keeps things interesting. Hope you're doing well. We should grab lunch when your schedule allows. ,0
#cloudforce lots of talk about the Content Library in the sales cloud track. Worth looking at ,1
"@BrentO Ur a DBA expert, what is your expert opinion to this SO question: http://tinyurl.com/cn9zzp. A bit of a hot topic at work ",1
"@KellsMania  just press &quot;R&quot; and it refreshes the page...       much better then twitterberry and use standard, its like being on a pc.",1
Why does Jack love when I yell at him?? He thinks it funny when he 4gets shit ima 4get him and let's see how funny it is..lol I love him ,1
"@danpatterson haha Good Morning Sir  I agree with that, it is the Little Aggregator that Could!! Have a Funtastic Day man ",1
My interview is on the 16th and not the 9th ! So can go out tomorrow and enjoy the football and beer ,1
"Last night I started Scottish Country Dancing lessons with my boyfriend! Talk about in-the-deep-end! Was a real giggle, &amp; great exercise ",1
@anniemoon hope your day gets better  ,1
"@PrimeJudas recording, eh? only if I can be dressed as a frog throughout  and mention it multiple times",1
I'm off today so I got to get my house cleaned :/ I't not bad just a little bit here and there wont take long ,1
#Livemercial Basketball bracket champion. ,0
@ambermatson Have a good night. Sleep well - at the 2nd attempt ,0
@jonesieboy defo Jonsie  I have had a manic weekend so forgot to finailse our plan... Watch this space ,1
@carli_chick how are you today madame beautiful? ,0
@UncleZeiv so where is the point ? increasing your efforts till work reaches free time again ? ,1
@inspectorsmart No but I do now - thanks! ,1
@chezvies thank you ,1
And then there were two... almost there ,1
"packing up, loading out, over to bro's for the morning, then off for San Antonio in the afternoon... tonight, we take (in) the Alamo! ",0
@mrseb /me is nine eps behind. DonÀ_t spoil it! ,1
@fossiloflife twitter people check this out ... he has his coffee only at Barista everyday... ,1
@MadeleineBCN  its just a saying... got tons of work to do and i'll kick start it with a very strong coffee ... he he not sure about twitt,1
"@h0neyb i didn't see your email... hmm. i just followed you on twitter, so you can dm me your information instead if you want. ",1
is watching HANNAH MONTANA.  http://plurk.com/p/n2213,1
Good Morning Twitter ,1
@akajipster so there is light at the end of the Ideal Home Show tunnel after all ;) hope the 7 remaining days of the show are good ,1
Trying to work today. Kaitlyn still bleh. Her word ,1
Morning! I hope today is as great as yesterday I laughed until I couldnt breath ,1
"@EternalEsme hmm, as things are at the moment? no. but we'll be perfect little angels when  you come. ",1
@lukerumley how's the macheist bundle treating your windows box?  ,1
"Fixed the money-problem. Also, my cousin now lives in north-London (instead of Slough) and says housing me for a week is no problem. ",1
@hakerem I disagree. Women are clearly better at multi-tasking. Google it ,1
Good Day Tweeps! Have a great day ,1
"@inmyheadstudios well...good morning, i think...lol  nothing like playing muscial chairs with where you sleep!",0
"@dink9966 Losing those 2 guys is huge, but you gotta deal with it.  Time to call up Weber for the PP &amp; Price to take some NyQuil  #habs",1
@SILVERSUN You make the milk look REALLY good in your pictures ,1
is working on her listography.  http://plurk.com/p/n233g,1
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!  ,1
@theshortestfuse that is so cool...good to hear...thanks for sharing!  ,0
"@cherryspoon Don't get upset by it, not worth it  Besides if they do that with enough people, their accounts will not be so popular ;-)",1
@Woth2982 @DDsBoston @Bostongrlkayte it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet ,1
@stbalkcom do u know ur joe is on here now?  ,1
@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic!  Are you singing it in Finnish?  ,1
Haircut! Feeling fresh and clean ,1
@Sam_Johnson I'm with ya there ,1
@helloitsliam todd loves steps ,1
"@richardsedley I'm absolutely interested!  I'll shoot you my info in a DM, or of course feel free to share it in a reply and I'll retweet.",1
poor @littlebrownpen ! Fortunately you have a good sense of humor ,1
@aussie_ali @heidiheartshugs toothpaste??? If you use the whitening stuff the bleach will burn a layer of skin off. ,1
@redrobinrockn yes...but today daddy has them! i'm out for the day to work ,1
"@Carlotaxx 'Evening Carlota, not bad thanks  ... a bit tired ... but that is normal ... *rolls eyes* ... ;-)",1
Good morning. ,1
"@AmandaFPatton haha, well it's never a permanent state for me (offline) ",1
trying to figure out how this works! ,1
@nikki_morris ... and then look bemused when I take it off of their alloted hours ,1
Beans on toast with Simona. Can it get any better  ?,1
"@GreigWells Haha, they are a flamin distraction ",1
ok... now I have tkts for 2nite... Fast and the Furious! hope is GREAT after being sold out for the weekend!... ,1
"@Corning_Futures yo, I live in Jacksonville lets do lunch ",1
@strekr Wasn't the Miami valley already frozen?  It's WINTER! ,0
@_WolfGirl_ May 6th  We couldn't wait any longer..i was waiting for someone to ask! LOL,1
going back to straighten my hair  download some nds roms first though,1
It's going to be a beautiful day--I am going to have a new granddaughter!  ,1
wants something to eat but cant decide what to have shortstack were on home and away and hi tori ,1
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover ,1
I'm learning to twitter!!   beats doing the taxes ,1
@photojunkie I thought it said &quot;looking to get A shot&quot; for a second - I'm interested in both  #mesh09,1
@nikkiclifton Thank you precious woman. May you receive that and exceedingly more than you could ever hope for or imagine. ,1
 - Iowa No. 2 in happy! Yea!,1
@tommcfly i went to starbucks earlier ,1
@mcm180 u've got a list for fellow #hotties? You gonna have to share that one Amigo! ,1
@nikki_knebs Congrats. Hopefully we will be seeing you in the fall. ,1
@tommcfly hot chocolate  xx,1
http://twitpic.com/2ydkg - Time to bust out the Green Wing ,1
@Fred0828 yeah 16kg is around 40lbs  Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,1
@katahay i adore your music.  you are extremely talented ,1
@tommcfly yummy starbucks! ,1
@ibeatsex imy frankieeeee &lt;3(: found any good books to read yet? ,0
Photo: eatsleepdraw: so weirdÀ_ I like it.  http://tumblr.com/xig1jujl3,1
Just woke up ...Good morning everyonee!  ,0
"@ValenValdez Oh, that's good to hear.  But is it over already? Or you'll continue it after the Holy week?",1
"heading home today for easter break  my parents don't think i'll be home til thursday, so what a surprise!",1
@Richelle27 damn it have to make it a proper website one day with the help of tiff ,1
@joemcintyre  WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!! ,1
@cyberpenguin I am really good...tired but good ,1
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me. ",1
@Schofe You too ,1
@agpublic have you seen this link? Me thinks you might like it  http://bit.ly/Mr2jY,0
@caitlinh38 Caution: It can be addictive ,0
"@TomFelton Oh, we have &quot;Antiques Roadshow.&quot; It is strangely addictive. It's kind of funny when people find out their junk is worthless ",0
@rainbowdarling lol you and me both. Grumpy and bitter. ,1
@Turbizzle Goooooood hwo're you? ,1
@mileycyrus lol the conbrainer store thats cute ,1
@hughsbeautiful me too. It's gonna be awesome. Eeek! One week! ,1
@greyseer Decently functional. I'm at work today. ,1
@christinamendez: My list is short; so does that mean the my God is huge too?  LoL  ,1
I'm not really feeling the whole 'going to class and being productive' thing today....hooky?! ,1
@MattKelland that Dalek is great ,1
Positive Mental Attitude - Today can't be as bad as yesterday. ,1
Ecstatic that Wal-Mart now carries Sambazon!!! ,1
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly!  God is good,faithful&amp;loves u &lt;3",1
@DerrenLitten What is the software on the middle screen? I have used Adobe Premiere and Sony Vegas for amateur video making ,0
@daveixd Insulting? Did *you* invent it? Now I know what to get you for your birthday: http://is.gd/rcf4 ,1
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up! ,1
#cflsc1 enough of the shameless book plug ,1
@samotage what was channel and time of prog  politicians with no formal training bathe in SIMPLEXITY  a la CNUTROY!!!!,1
@djroxc Welcome to Twitter!! ,1
"sooo cool thanks so much, our stuff just shipped so I should have soon. your the best ",1
@mikebairos we don't have tix just going to attend festivities ,1
@foodphilosophy magic rejuvenation...hmm I'm thinking Triple Oxygen Mask  http://is.gd/kQkq and a Blissage105! Hang in there!,0
Good morning! The sun is shining and I am going to the beach with a few bff's. See later when I am all tan. ,1
@whiskymac1746 Afternoon to you too ,0
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book. ",1
"@BookThingo I want to read P. D. James's THE CHILDREN OF MEN, though - interesting premise. Yay for futuristics! ",1
Oh god sweet nicotine and tar i crave you both so bad today what is wrong with me lol hahaha  XX,1
Working on a film. Have been busy. Have a nice day everyone ,1
"i'm home from school, yay!  wasn't that bad actually, and i had a nice dinner with graceeeeee.",1
"@julienviet the fluider an interface, the better, regardless of the purpose ",1
"@MaranePlaza: Glad you enjoyed your first day, frend ",0
"@tpgraham that's pretty cool, man.  I'm not a fan, but lossless FTW!  I'll check it out ... ",0
"@pjgariel Yeah, still chilly here too but s'posed to return to normal temps this week.  Gonna spend some time with the girls this week! ",0
is getting ready to take Munchlet to the vet. Then doing absolutely nothing but relaxing!  Next two days off.,1
Make sure you email me to enter this month's giveaway - makeup from Pink Quartz Minerals!! ,1
Thanks @unltdworld and @danlehner for the Enternships.com plugs ,1
"I'm gunna have a lazy day today.  Woo, Good timezzzzzzzz",1
thinks she found a good group to help her refocus ,1
"Good morning, @mirandaanzures .... Only about eight hours until Noodles.... The only positive thing I can think of right now ",1
"@secondcitystyle LOL I thought this was a post about buying good, cheap wines.  ",1
"is proud that Wilmington, DE has decreased the number of homicides compared to this time last year by 62%.  Absolutely commendable! ",1
@chipcoffey That is great to hear!! Thanks Chip! ,1
@Mileycyrus i love jesus too  and im getting ready for school  (&lt;3),0
"@laurene planning to do that, too.  while in transit anyway ",0
@JamFactory and such a beautiful (if typically Mac'y) web site too ,0
Found st thomas'and waiting ,1
"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it ",1
"@DuaneJackson tr.im are doing it with Nambu, bit.ly are doing it with Tweetdeck ",1
"My band director just said &quot;As King Julian would say, don't play like pansies!&quot; LOL ",1
@micheal25 Have a great day back at ya ,1
@coollike don't quit Twitter ,1
after im gonna have a lok in d argos catalouge 4 summ bday pressies  or look online,1
"@seerysm i'm always cheerful when it's sunny at ATL, means I'll get the heck away on time ",1
good morning all ,0
@AMyburgh No problem. ,1
hey guys at home watching telly ,1
"@NanaRaine i imagine it would be, not exactly close ",1
Wheat Thins and Diet Dr. Pepper = breakfast of champions...or people who wake-up late and grab the first thing they can find... ,1
Cool!  Now I have my own leaping theme music! I am going to forgo thinking about the fact that it is the Pepe Le Pew music and just leap ,1
